step,loss,lr,tokens_per_sec,mem_gb,entropy
2990,0.9891,1.8e-05,11485,8.4,1.386
3000,1.0212,1.8e-05,11471,8.4,1.386
3010,0.9401,1.8e-05,11184,8.4,1.386
3020,0.9288,1.8e-05,11487,8.4,1.386
3030,0.8782,1.8e-05,11484,8.4,1.386
3040,1.0302,1.8e-05,11475,8.4,1.386
3050,0.8669,1.8e-05,11478,8.4,1.386
3060,0.9931,1.8e-05,11204,8.4,1.386
3070,0.8812,1.8e-05,11510,8.4,1.386
3080,0.9607,1.8e-05,11500,8.4,1.386
3090,0.9239,1.7e-05,11504,8.4,1.386
3100,0.9284,1.7e-05,11515,8.4,1.386
3110,0.9078,1.7e-05,11500,8.4,1.386
3120,0.9901,1.7e-05,11266,8.4,1.386
3130,0.9716,1.7e-05,11501,8.4,1.386
3140,0.8837,1.7e-05,11495,8.4,1.386
3150,0.9164,1.7e-05,11507,8.4,1.386
3160,0.8981,1.7e-05,11511,8.4,1.386
3170,0.9397,1.7e-05,11511,8.4,1.386
3180,0.9562,1.7e-05,11252,8.4,1.386
3190,0.9258,1.7e-05,11506,8.4,1.386
3200,0.9771,1.7e-05,11498,8.4,1.386
3210,0.944,1.7e-05,11501,8.5,1.386
3220,0.952,1.7e-05,11522,8.4,1.386
3230,0.9243,1.7e-05,11282,8.4,1.386
3240,0.9995,1.7e-05,11496,8.4,1.386
3250,0.9913,1.7e-05,11506,8.4,1.386
3260,0.9279,1.7e-05,11508,8.4,1.386
3270,0.9662,1.7e-05,11499,8.4,1.386
3280,0.8248,1.7e-05,11495,8.4,1.386
3290,1.0069,1.7e-05,11295,8.4,1.386
3300,0.9292,1.7e-05,11493,8.4,1.386
3310,0.9712,1.7e-05,11506,8.4,1.386
3320,0.8765,1.7e-05,11510,8.4,1.386
3330,0.899,1.7e-05,11497,8.4,1.386
3340,0.913,1.7e-05,11510,8.4,1.386
3350,0.8969,1.7e-05,11291,8.4,1.386
3360,0.9717,1.7e-05,11508,8.4,1.386
3370,0.9818,1.7e-05,11502,8.4,1.386
3380,0.8349,1.7e-05,11512,8.4,1.386
3390,0.9011,1.7e-05,11493,8.5,1.386
3400,0.8384,1.7e-05,11321,8.4,1.386
3410,0.877,1.7e-05,11518,8.4,1.386
3420,0.9617,1.7e-05,11502,8.5,1.386
3430,0.9654,1.7e-05,11510,8.4,1.386
3440,0.9674,1.7e-05,11514,8.4,1.386
3450,0.9895,1.7e-05,11504,8.4,1.386
3460,0.8976,1.7e-05,11283,8.4,1.386
